vanilla-i18n-key,Ro,En,Ru
language,Ro,En,Ru
header.address,strada Păcii 10,"Pacii 10, street",Улица Pacii
header.cartbutton,Coșul meu,My cart,Моя корзина
searchbar.placeholder,Caută restaurante,Find restaurants,Поиск ресторанов
addbutton,Adaugă,Add,Добавить
emptycart.button,Coș gol,Empty cart,Корзина пуста
emptycart.modal.title,Coșul tău este gol!,Your cart is empty!,Ваша корзина пуста!
emptycart.modal.additems,Adaugă produse în coș pentru a continua cumpărăturile.,Add products to cart to continue shopping.,"Добавьте товары в корзину, чтобы продолжить покупки."
restaurant.delivery,Prețul livrării:,Delivery price: ,Стоимость доставки: 
restaurant.payment.card,Card,Card,Карта
restaurant.payment.cash,Cash,Cash,Наличные
restaurant.map,Vizualizați pe hartă,See on map,Посмотреть на карте
cart.edit,Editează,Edit,Редактирование
cart.delete,Șterge,Delete,Убрать
cart.delivery,Livrare:,Delivery:,Доставка: 
cart.total,Total: ,Total: ,Итого: 
cart.button_next,Continuă,Place order,Продолжить
help.title,Ajutor,Help,Помощь
help.delivery,Livrare,Delivery,Доставка
ifood.about,Despre noi,About Us,О нас
ifood.become_courier,Devino curier,Become a courier,Стать курьером
ifood.become_partner,Devino partener,Become a partner,Стать партнёром
ifood.mastercard_promo,Promo Mastercard,Promo MasterCard,Промо Mastercard
legal.title,Juridic,Legal information,Юридическая информация
legal.terms,Termeni și condiții,Terms of use,Пользовательское соглашение
legal.confidentiality,Politica de confidențialitate,Privacy policy,Политика конфиденциальности
legal.cookies,Politica cookies,Cookies policy,Политика cookies
support.title,Suport,Support,Поддержка
support.phone,Telefon: (022) 000 100,Telephone: (022) 000 100,Телефон : (022) 000 100
footer.support.email,Email : support@ifood.md,Email : support@ifood.md,Эл. почта : support@ifood.md
subscribe,Abonează-te,Subscribe,Подпишись
rights_reserved,Toate drepturile sunt rezervate.,All rights reserved.,Все права защищены. 
schedule.monday,Luni: ,Monday: ,Понедельник: 
schedule.tuesday,Marți: ,Tuesday: ,Вторник:
schedule.wednesday,Miercuri: ,Wednesday: ,Среда:
schedule.thursday,Joi: ,Thursday: ,Четверг:
schedule.friday,Vineri: ,Friday: ,Пятница:
schedule.saturday,Sâmbătă: ,Saturday: ,Суббота:
schedule.sunday,Duminică: ,Sunday: ,Воскресенье:
restaurant.description,Restaurantele McDonald's oferă produse 100% proaspete şi de calitate în orice loc şi în orice moment,"McDonald's restaurants offer 100% fresh, high-quality products anytime, anywhere","Рестораны McDonald's предлагают 100% свежие, высококачественные продукты в любое время и в любом месте"
promo.title,livrare gratuită,free delivery,бесплатная доставка
promo.description,Achită cu Mastercard de la 200 lei și primește livrare gratuită,Pay with Mastercard from 200 lei and get free delivery,Оплачивай с Mastercard от 200 лей и получи бесплатную доставку
